名子,經緯度,平台,連結,Google Map,種類,縣市,鄉鎮區
坑口小吃,"25.1336766, 121.8063818",Facebook,https://www.facebook.com/reel/9401172179996591,https://maps.app.goo.gl/dUtC3sVM2h9DMGn69,小吃,新北市,瑞芳區
小旺號,"25.0141655, 121.5341438",Facebook,https://www.facebook.com/reel/2427191940957054,https://maps.app.goo.gl/gRbqZNLZv8kSVc4o8,速食,台北市,中正區
東引小吃店,"25.066838762840273, 121.63084419601512",Facebook,https://www.facebook.com/reel/627992796609675,https://maps.app.goo.gl/KMFouGySe77GJCr5A,小吃,台北市,松山區
Amber日式可麗餅&舒芙蕾工坊,"24.9547188, 121.2428516",Facebook,https://www.facebook.com/reel/1047699237198958,https://maps.app.goo.gl/8dgsbgzDLtnpBxD47,冰品 / 甜點,桃園市,中壢區
猴洞坑瀑布,"24.8434334, 121.7820505",Facebook,https://www.facebook.com/reel/1147540999991386,https://maps.app.goo.gl/mFKeu52QwCCiPD3s9,戶外景點,宜蘭縣,礁溪鄉
樂山溫泉拉麵,"24.8270391, 121.7721991",Facebook,https://www.facebook.com/reel/1147540999991386,https://maps.app.goo.gl/o9cUVE8kA3xtMSSt6,日式,宜蘭縣,礁溪鄉
渭水之丘,"24.8244389, 121.7022625",Facebook,https://www.facebook.com/reel/1147540999991386,https://maps.app.goo.gl/ccaDqvhYW5wfp2N17,戶外景點,宜蘭縣,礁溪鄉
北投地熱谷,"25.137894, 121.5118863",Facebook,https://www.facebook.com/reel/1658847391507021,https://maps.app.goo.gl/bttvr9tB9yiCiMXV7,戶外景點,台北市,北投區
呀屋火鍋·烤串,"25.01166696692279, 121.31920557646477",Facebook,https://www.facebook.com/reel/517289118089759,https://maps.app.goo.gl/ivetXTrfTftDTkuW7,火鍋/燒烤,桃園市,桃園區
環球新北中和店,"25.0066732, 121.4747785",Facebook,https://www.facebook.com/reel/4835514986672636,https://maps.app.goo.gl/yNvrEqRNP5ZPB6V2A,室內景點,新北市,中和區
18度雞,"24.17659923409774, 120.69330899599258",Facebook,https://www.facebook.com/reel/2073978379695836,https://maps.app.goo.gl/sLyZv56TPfCxzG4n9,宵夜,台中市,北屯區
街客咖啡,"23.0082914, 120.2315972",Facebook,https://www.facebook.com/reel/3417433078565568,https://maps.app.goo.gl/DLqSwMEjqACtTqDeA,咖啡廳,台南市,永康區
保家衛國,"22.992041039444004, 120.20951146897409",Facebook,https://www.facebook.com/reel/1623216535225735,https://maps.app.goo.gl/16QjTcUqqrueQ6BN7,住宿,台南市,中西區
Little Ripple 小日波,"25.2401522, 121.6330659",Facebook,https://www.facebook.com/reel/501903116309295,https://maps.app.goo.gl/kYuvxsEsuza3xfZL7,咖啡廳,新北市,金山區
獅頭山公園,"25.2252514, 121.648574",Facebook,https://www.facebook.com/reel/501903116309295,https://maps.app.goo.gl/7M1ohUpd9eAu74y98,戶外景點,新北市,金山區
Amajia阿嬤家咖啡漁村料理,"25.2272342, 121.645575",Facebook,https://www.facebook.com/reel/501903116309295,https://maps.app.goo.gl/LJEe8wz4XrKCzb1y5,咖啡廳,新北市,金山區
神秘海岸,"25.2292262, 121.6531399",Facebook,你放錯了,https://maps.app.goo.gl/BhstwPZhaeVFCGLW8,戶外景點,新北市,金山區
佛手洞,"25.1452252, 121.7479512",Facebook,https://www.facebook.com/reel/2019099835268712,https://maps.app.goo.gl/3vi1acvXVAJs6PQQ8,戶外景點,基隆市,中山區
